"","AD1","AD2","AD3","AH1","AH2","AH3","CD1","CD2","CD3","CH1","CH2","CH3","LD1","LD2","LD3","LH1","LH2","LH3","VD1","VD2","VD3","VH1","VH2","VH3"
"Penicillium.spinulosum",0,0,0,69,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,155
"Penicillium.westlingii",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peniophora.aurantiaca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
"Peniophora.pini",4,0,0,0,0,0,2,4,0,8,0,71712,0,0,0,5,0,0,0,0,0,0,3,0
"Periconia.macrospinosa",0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"Periconia.prolifica",0,0,13,0,21,10,14,89,0,15,0,8,11,55,104,17,23,11,7,0,99,0,98,0
"Periconia.sp",0,0,0,0,28,10,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,5,0
"Pertusaria.leioplaca",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0
"Pesotum.sp",0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"Pestalotiopsis.disseminata",7340,0,16065,0,8526,827,7406,367,0,8084,0,3663,6862,21220,16117,5852,9574,10709,4069,0,22846,0,314,0
"Petriella.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0
"Peziza.saccardoana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
"Peziza.sp",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Peziza.subcitrina",0,0,0,0,18,1,4,9,0,0,0,7,3,4,23,3,0,0,16,0,0,0,13,0
"Pezizella.chrysostigma",0,0,0,0,56,21,5,139,0,3,0,1,0,13,24,1,0,22,18,0,10,0,12,0
"Phaeoacremonium.australiense",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,7,10,0,0,0,9,0
"Phaeoacremonium.fraxinopennsylvanicum",3,0,1,0,0,0,11,0,0,0,0,0,0,0,2,0,5,0,6,0,0,0,14,0
"Phaeoacremonium.hungaricum",3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,10,0,0,0,0,0,0
"Phaeoacremonium.iranianum",0,0,0,0,0,0,0,10,0,1,0,0,0,5,0,0,0,0,1,0,30,0,0,0
"Phaeococcomyces.mexicanus",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Phaeococcomyces.sp",0,0,7,0,0,3,1,11,0,0,0,0,1,0,26,4,0,4,3,0,0,0,5,0
"Phaeocytostroma.ambiguum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"Phaeomoniella.chlamydospora",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,90,7,0
"Phaeosphaeria.sp",4,0,0,0,1,8,13,0,0,2,0,4,0,12,20,3,5,0,1,0,25,0,24,0
"Phaeothecoidea.intermedia",1,0,20,0,28,7,7,0,0,5,0,4,16,3,46,9,7,2,11,0,72,0,34,0
"Phallus.rugulosus",0,0,0,0,37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Phialocephala.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
"Phialophora.americana",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Phialophora.geniculata",0,0,5,0,0,5,0,11,0,11,0,2,0,8,0,0,0,9,3,0,0,0,0,0
"Phialophora.sp",0,0,4,0,19,2,0,25,0,1,0,3,9,0,0,2,9,0,9,0,16,0,9,0
"Phlebiopsis.gigantea",17,0,25,79,12,0,0,0,0,0,76,0,65232,41,50,0,9,15,0,200,0,122,0,94
"Pholiota.conissans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Pholiotina.sulcata",0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"Phoma.adonidicola",0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,500,0,65
"Phoma.betae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Phoma.herbarum",10,0,17,0,8,16,23,105,0,10,0,16,7,27,35,25,5,12,5,0,142,0,163,0
"Phoma.sp",8,0,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,17,0
"Phomopsis.sp",0,0,0,0,0,0,0,22,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0
"Phyllosticta.sojicola",3,0,19,0,0,3,7,50,0,9,0,4,37,21,117,2,24,7,0,0,114,0,33,0
"Phytophthora.cactorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Pichia.fermentans",0,0,1,0,0,12,0,0,0,0,0,4,0,0,31,6,0,0,1,0,0,0,5,0
"Pichia.kluyveri",1,0,3,0,0,0,0,12,0,0,0,7,4,7,0,9,0,0,0,0,27,0,7,0
"Pichia.kudriavzevii",0,0,0,0,6,5,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"Pichia.membranifaciens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pichia.sp",0,0,0,0,34,5,0,0,0,10,0,0,0,0,26,0,0,5,11,0,0,0,19,0
"Plectosphaerella.cucumerina",11,124,51,357,225,61,71,345,0,31,1401,52,15,25,77,13,48,93,71,0,536,0,283,0
"Plectosphaerella.melonis",0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plectosphaerella.oratosquillae",0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,4613,0,1235,0,795
"Pleurostoma.richardsiae",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Pochonia.chlamydosporia",0,0,8,0,0,0,20,29,0,0,0,2,0,3,0,0,5,0,0,0,19,0,20,0
"Podospora.bulbillosa",6,0,7,0,15,6,10,65,0,10,0,7,8,8,47,0,2,9,6,0,0,0,95,0
"Podospora.communis",0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,1,0,1,0,0,0,0,0,0
"Podospora.dimorpha",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Podospora.intestinacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0
"Podospora.multipilosa",0,0,0,0,12,0,3,0,0,5,0,2,6,0,0,7,1,8,4,0,56,0,23,0
"Podospora.sp",0,0,39,0,84,27,10,71,0,7,136,12,61,153,77,7,15,46,14,0,138,0,84,93
"Polyblastia.abscondita",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Polycauliona.sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polytolypa.hystricis",1,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,0
"Preussia.flanaganii",1,0,6,0,0,0,3,1,0,0,0,0,1,16,16,1,2,0,0,52,41,0,26,0
"Preussia.sp",1,0,31,0,0,17,26,50,0,18,0,11,86,103,103,2,0,11,13,0,67,76,58,0
"Proliferodiscus.sp",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
